	LE6	LE7	LE8	LE9	LE10	LE11	LE12	LE13	LE14	LE15	LP1	LP2	LP3	LP4	LP5	LP6	LP7	LP8	LP9	LP10	LP11	LP12	LP13	LP14	LP15
	E14.5	E14.5	E14.5	E14.5	E14.5	E17.5	E17.5	E17.5	E17.5	E17.5	P0	P0	P0	P0	P0	P1	P1	P1	P1	P7	P7	P7	P21	P21	P21
PC40:6(18:1/22:5)	0.00159683	0.002047635	0.002114701	0.001641514	0.001551541	0.000831162	0.001031837	0.001185881	0.001302108	0.000951409	0.000940609	0.001078762	0.00062942	0.000837991	0.00097478	0.001445253	0.001171102	0.000943743	0.000977808	0.000952044	0.000757021	0.000833557	0.000635125	0.000690035	0.000838326
PC40:6(20:2/20:4)	0.003139072	0.003201853	0.003362882	0.00306581	0.002853887	0.001855344	0.001986256	0.001895599	0.002222833	0.001631267	0.001382819	0.001729664	0.001045564	0.001218214	0.001358162	0.002210704	0.002010205	0.001434872	0.001554364	0.002302059	0.00199685	0.002099409	0.001781454	0.002393618	0.002617663
PC40:6(20:3/20:3)	0.000430234	0.000424965	0.00047981	0.000392317	0.000390737	0.000198921	0.000283456	0.000276914	0.000259977	0.000181196	0.000228153	0.000296202	0.000184801	0.000224506	0.000219608	0.000338498	0.000328821	0.00020032	0.000244236	0.000305794	0.000263245	0.000286838	0.000240625	0.00027045	0.000264576
PC40:5(18:0/22:5)	0.002214415	0.003214631	0.002869688	0.0022281	0.002153035	0.001408063	0.001746526	0.001861937	0.001952909	0.001590928	0.001127407	0.00130124	0.000828637	0.000937877	0.001129477	0.001607727	0.001456048	0.001227473	0.001376999	0.00181007	0.001468402	0.001548647	0.002217566	0.002507998	0.002930266
PC40:5(20:1/20:4)	0.001887083	0.002466757	0.002612063	0.00205077	0.001960562	0.001155028	0.001538786	0.001560588	0.001707086	0.001155915	0.000939039	0.001089197	0.000696559	0.000892632	0.000943736	0.001411986	0.001136734	0.000854087	0.000921649	0.001344171	0.001097125	0.001217282	0.001057502	0.001234431	0.001388225
PC40:5(20:2/20:3)	0.000356455	0.000316217	0.000427922	0.000393914	0.00035861	0.000320023	0.000337334	0.00034486	0.000323988	0.000236952	0.000235902	0.000289222	0.00018268	0.000197106	0.000229966	0.000314459	0.000316756	0.000202404	0.000246386	0.000388063	0.000332271	0.000361512	0.000313108	0.000371268	0.000444758
PC36:4p(16:0/20:4)	0.000867968	0.000738563	0.000870815	0.000770514	0.000814752	0.001551834	0.00114554	0.001151684	0.001168256	0.001215992	0.001651544	0.001876639	0.001160576	0.001392336	0.001566549	0.0023814	0.002881596	0.00216039	0.003164846	0.002667844	0.001915933	0.002151816	0.003228084	0.003716725	0.004485258
PC36:4p(16:1/20:3)	1.46E-05	2.43E-05	1.40E-05	1.91E-05	1.34E-05	1.29E-05	1.78E-05	1.72E-05	6.79E-06	1.05E-05	1.67E-05	3.46E-05	1.50E-05	1.35E-05	2.14E-05	1.88E-05	3.11E-05	1.74E-05	2.01E-05	1.93E-05	1.89E-05	1.84E-05	2.21E-05	1.96E-05	1.97E-05
PC36:3p(16:0/20:3)	9.44E-05	7.55E-05	8.15E-05	7.55E-05	7.70E-05	0.00016793	0.000135086	0.000136353	0.00013822	0.000131017	0.000178423	0.000188171	0.000121915	0.000160388	0.000164709	0.000198604	0.000259031	0.000174346	0.000250484	0.000205734	0.000145359	0.000167919	0.000264489	0.000321334	0.000347432
PC38:4p(18:0/20:4)	0.005080148	0.00617524	0.006266302	0.005027278	0.004477989	0.002998763	0.003904503	0.004907837	0.0050148	0.003128671	0.003411371	0.003224027	0.002311994	0.003016151	0.003098596	0.00341381	0.003016478	0.002526693	0.003240329	0.002517111	0.001971378	0.002306251	0.002507707	0.002562487	0.003296692
PC38:3p(18:0/20:3)	0.000375379	0.000545405	0.000489705	0.000372621	0.000332989	0.000271601	0.000372179	0.000442683	0.000381769	0.000271127	0.000286658	0.000310445	0.00020136	0.000276481	0.000293297	0.000265136	0.000246394	0.000201657	0.000242814	0.000224506	0.000175481	0.000197496	0.000145874	0.000173821	0.000224926
PC40:4p(20:0/20:4)	0.000463098	0.000506671	0.000549711	0.0005504	0.000415794	0.000367083	0.00039866	0.00043561	0.000476298	0.000385406	0.000335844	0.00034471	0.000236142	0.000276209	0.000343296	0.000434204	0.000340564	0.000295929	0.000382033	0.000374296	0.000331715	0.000393307	0.000482151	0.000590288	0.000682773
PC40:3p(20:0/20:3)	7.19E-05	8.35E-05	5.92E-05	6.67E-05	5.88E-05	6.09E-05	5.39E-05	5.77E-05	6.01E-05	5.57E-05	5.42E-05	5.33E-05	4.00E-05	5.65E-05	5.97E-05	6.88E-05	7.88E-05	5.23E-05	6.05E-05	7.84E-05	6.53E-05	8.69E-05	7.91E-05	8.83E-05	0.000112564
LPE16:1	0.000201716	0.000292775	0.000320198	0.000243346	0.000202809	0.00011571	0.000238997	0.000421134	0.00023374	0.000287901	0.00023269	0.000262215	0.0002679	0.000213417	0.000250588	0.000145612	0.000170764	0.000116308	0.000140436	6.52E-05	7.55E-05	8.43E-05	8.29E-05	7.48E-05	0.000120176
LPE16:0	0.000890163	0.001248833	0.001391334	0.001004316	0.000968634	0.000707178	0.000943065	0.00143617	0.000929955	0.001004589	0.000674632	0.000826121	0.000805141	0.000738007	0.000954284	0.000799668	0.001076412	0.000791154	0.000798467	0.00098989	0.001289409	0.001076477	0.000739332	0.000703184	0.000855109
LPE18:2	0.000190308	0.000332	0.000357971	0.000211187	0.000238634	0.000135501	0.000327346	0.000545882	0.000362113	0.00027811	0.000233051	0.000207641	0.000244391	0.000229786	0.00034429	0.000416175	0.000290263	0.000216569	0.000259701	0.000448931	0.000521478	0.000432391	0.00034868	0.000382296	0.000434528
